,cod_tse,cod_ibge,nome_mun,uf,estado,12,13,14,15,16,21,22,27,30,44,80,status
3600,65935,3524600,JACUPIRANGA,SP,SÃO PAULO,"1,84","30,36","0,09","3,86","0,02","0,02","62,62","00,00","0,40","0,73","0,05",4
3601,65951,3524709,JAGUARIÚNA,SP,SÃO PAULO,"2,81","32,10","0,07","7,04","0,04","0,03","56,64","0,01","0,85","0,38","0,04",4
3602,65978,3524808,JALES,SP,SÃO PAULO,"2,04","29,63","0,04","5,14","0,01","0,03","62,41","00,00","0,43","0,25","0,02",4
3603,65994,3524907,JAMBEIRO,SP,SÃO PAULO,"2,51","35,44","0,05","6,00","0,03","0,03","54,84","0,05","0,53","0,48","0,05",4
3604,66010,3525003,JANDIRA,SP,SÃO PAULO,"4,10","47,33","0,04","5,82","0,03","0,06","41,25","0,02","0,60","0,63","0,11",2
3605,66036,3525102,JARDINÓPOLIS,SP,SÃO PAULO,"2,26","32,29","0,06","4,05","0,03","0,04","60,27","0,01","0,43","0,54","0,03",4
3606,66052,3525201,JARINU,SP,SÃO PAULO,"2,49","34,49","0,06","4,60","0,02","0,04","57,32","0,01","0,49","0,41","0,07",4
3607,66079,3525300,JAÚ,SP,SÃO PAULO,"2,80","25,71","0,07","4,55","0,03","0,05","65,62","0,01","0,51","0,59","0,06",4
3608,66095,3525409,JERIQUARA,SP,SÃO PAULO,"1,54","50,79","0,04","3,54","0,04","00,00","43,55","00,00","0,25","0,08","0,17",1
3609,66117,3525508,JOANÓPOLIS,SP,SÃO PAULO,"2,49","30,65","0,11","4,94","0,03","0,01","60,77","00,00","0,34","0,62","0,04",4
3610,66133,3525607,JOÃO RAMALHO,SP,SÃO PAULO,"2,06","44,63","0,12","2,52","00,00","0,04","49,94","00,00","0,23","0,47","00,00",3
3611,66150,3525706,JOSÉ BONIFÁCIO,SP,SÃO PAULO,"2,27","32,87","0,05","4,01","0,01","0,04","59,92","0,01","0,41","0,41","0,00",4
3612,66176,3525805,JÚLIO MESQUITA,SP,SÃO PAULO,"1,46","53,58","0,10","3,09","00,00","0,03","41,31","0,03","0,07","0,28","0,03",1
3613,66192,3525904,JUNDIAÍ,SP,SÃO PAULO,"3,67","31,85","0,06","7,64","0,02","0,07","54,91","0,02","1,15","0,54","0,07",4
3614,66214,3526001,JUNQUEIRÓPOLIS,SP,SÃO PAULO,"1,78","31,83","0,02","4,38","00,00","0,01","61,27","00,00","0,43","0,26","0,02",4
3615,66230,3526100,JUQUIÁ,SP,SÃO PAULO,"1,96","36,27","0,03","4,11","0,06","0,06","56,56","0,02","0,34","0,57","0,03",4
3616,66257,3526209,JUQUITIBA,SP,SÃO PAULO,"3,59","46,70","0,08","5,65","0,02","0,02","42,96","00,00","0,29","0,67","0,02",2
3617,66273,3526308,LAGOINHA,SP,SÃO PAULO,"2,58","38,41","0,05","10,65","00,00","00,00","47,00","0,05","0,43","0,83","00,00",3
3618,66290,3526407,LARANJAL PAULISTA,SP,SÃO PAULO,"1,72","26,65","0,06","4,54","0,01","0,04","66,13","0,04","0,41","0,41","0,01",4
3619,66311,3526506,LAVÍNIA,SP,SÃO PAULO,"1,94","44,71","0,03","3,56","00,00","00,00","49,14","0,03","0,24","0,35","00,00",3
3620,66338,3526605,LAVRINHAS,SP,SÃO PAULO,"2,79","46,70","0,04","5,83","0,02","0,04","43,70","00,00","0,46","0,38","0,04",2
3621,66354,3526704,LEME,SP,SÃO PAULO,"2,55","32,34","0,05","4,61","0,00","0,04","58,80","0,01","0,39","1,18","0,04",4
3622,66370,3526803,LENÇÓIS PAULISTA,SP,SÃO PAULO,"2,59","23,88","0,07","4,70","0,01","0,05","67,76","0,01","0,46","0,44","0,04",4
